"date","site","block","treatment","quad","species","tissue","biomass_category","growth_form","mass_g"
2012-08-01,"MAT06","2","CT","2","Eriophorum vaginatum","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","3","Eriophorum vaginatum","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","4","Eriophorum vaginatum","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","5","Eriophorum vaginatum","inflor/culm","new above","Graminoids",0.195
2012-08-01,"MAT06","3","CT","1","Eriophorum vaginatum","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","2","Eriophorum vaginatum","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","3","Eriophorum vaginatum","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","4","Eriophorum vaginatum","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","5","Eriophorum vaginatum","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","1","Eriophorum vaginatum","rhizome","below","Graminoids",1.476
2012-08-01,"MAT06","1","CT","2","Eriophorum vaginatum","rhizome","below","Graminoids",7.321
2012-08-01,"MAT06","1","CT","3","Eriophorum vaginatum","rhizome","below","Graminoids",0
2012-08-01,"MAT06","1","CT","4","Eriophorum vaginatum","rhizome","below","Graminoids",1.678
2012-08-01,"MAT06","1","CT","5","Eriophorum vaginatum","rhizome","below","Graminoids",8.869
2012-08-01,"MAT06","2","CT","1","Eriophorum vaginatum","rhizome","below","Graminoids",0
2012-08-01,"MAT06","2","CT","2","Eriophorum vaginatum","rhizome","below","Graminoids",0.142
2012-08-01,"MAT06","2","CT","3","Eriophorum vaginatum","rhizome","below","Graminoids",0.024
2012-08-01,"MAT06","2","CT","4","Eriophorum vaginatum","rhizome","below","Graminoids",1.051
2012-08-01,"MAT06","2","CT","5","Eriophorum vaginatum","rhizome","below","Graminoids",2.461
2012-08-01,"MAT06","3","CT","1","Eriophorum vaginatum","rhizome","below","Graminoids",0
2012-08-01,"MAT06","3","CT","2","Eriophorum vaginatum","rhizome","below","Graminoids",0
2012-08-01,"MAT06","3","CT","3","Eriophorum vaginatum","rhizome","below","Graminoids",1.237
2012-08-01,"MAT06","3","CT","4","Eriophorum vaginatum","rhizome","below","Graminoids",0
2012-08-01,"MAT06","3","CT","5","Eriophorum vaginatum","rhizome","below","Graminoids",0.695
2012-08-01,"MAT06","1","CT","1","Eriophorum vaginatum","standing dead","litter","Graminoids",2.976
2012-08-01,"MAT06","1","CT","2","Eriophorum vaginatum","standing dead","litter","Graminoids",24.464
2012-08-01,"MAT06","1","CT","3","Eriophorum vaginatum","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","1","CT","4","Eriophorum vaginatum","standing dead","litter","Graminoids",13.541
2012-08-01,"MAT06","1","CT","5","Eriophorum vaginatum","standing dead","litter","Graminoids",22.157
2012-08-01,"MAT06","2","CT","1","Eriophorum vaginatum","standing dead","litter","Graminoids",0.065
2012-08-01,"MAT06","2","CT","2","Eriophorum vaginatum","standing dead","litter","Graminoids",0.138
2012-08-01,"MAT06","2","CT","3","Eriophorum vaginatum","standing dead","litter","Graminoids",0.109
2012-08-01,"MAT06","2","CT","4","Eriophorum vaginatum","standing dead","litter","Graminoids",3.544
2012-08-01,"MAT06","2","CT","5","Eriophorum vaginatum","standing dead","litter","Graminoids",16.009
2012-08-01,"MAT06","3","CT","1","Eriophorum vaginatum","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","3","CT","2","Eriophorum vaginatum","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","3","CT","3","Eriophorum vaginatum","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","3","CT","4","Eriophorum vaginatum","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","3","CT","5","Eriophorum vaginatum","standing dead","litter","Graminoids",1.673
2012-08-01,"MAT06","1","CT","1","Eriophorum vaginatum","new buds","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","2","Eriophorum vaginatum","new buds","new above","Graminoids",0.629
2012-08-01,"MAT06","1","CT","3","Eriophorum vaginatum","new buds","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","4","Eriophorum vaginatum","new buds","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","5","Eriophorum vaginatum","new buds","new above","Graminoids",0.136
2012-08-01,"MAT06","2","CT","1","Eriophorum vaginatum","new buds","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","2","Eriophorum vaginatum","new buds","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","3","Eriophorum vaginatum","new buds","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","4","Eriophorum vaginatum","new buds","new above","Graminoids",0.096
2012-08-01,"MAT06","2","CT","5","Eriophorum vaginatum","new buds","new above","Graminoids",0.213
2012-08-01,"MAT06","3","CT","1","Eriophorum vaginatum","new buds","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","2","Eriophorum vaginatum","new buds","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","3","Eriophorum vaginatum","new buds","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","4","Eriophorum vaginatum","new buds","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","5","Eriophorum vaginatum","new buds","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","1","Carex bigelowii","blade","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","2","Carex bigelowii","blade","new above","Graminoids",0.455
2012-08-01,"MAT06","1","CT","3","Carex bigelowii","blade","new above","Graminoids",0.254
2012-08-01,"MAT06","1","CT","4","Carex bigelowii","blade","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","5","Carex bigelowii","blade","new above","Graminoids",0.274
2012-08-01,"MAT06","2","CT","1","Carex bigelowii","blade","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","2","Carex bigelowii","blade","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","3","Carex bigelowii","blade","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","4","Carex bigelowii","blade","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","5","Carex bigelowii","blade","new above","Graminoids",0.246
2012-08-01,"MAT06","3","CT","1","Carex bigelowii","blade","new above","Graminoids",0.494
2012-08-01,"MAT06","3","CT","2","Carex bigelowii","blade","new above","Graminoids",0.223
2012-08-01,"MAT06","3","CT","3","Carex bigelowii","blade","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","4","Carex bigelowii","blade","new above","Graminoids",0.632
2012-08-01,"MAT06","3","CT","5","Carex bigelowii","blade","new above","Graminoids",0.238
2012-08-01,"MAT06","1","CT","1","Carex bigelowii","sheath","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","2","Carex bigelowii","sheath","new above","Graminoids",0.177
2012-08-01,"MAT06","1","CT","3","Carex bigelowii","sheath","new above","Graminoids",0.123
2012-08-01,"MAT06","1","CT","4","Carex bigelowii","sheath","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","5","Carex bigelowii","sheath","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","1","Carex bigelowii","sheath","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","2","Carex bigelowii","sheath","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","3","Carex bigelowii","sheath","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","4","Carex bigelowii","sheath","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","5","Carex bigelowii","sheath","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","1","Carex bigelowii","sheath","new above","Graminoids",0.294
2012-08-01,"MAT06","3","CT","2","Carex bigelowii","sheath","new above","Graminoids",0.077
2012-08-01,"MAT06","3","CT","3","Carex bigelowii","sheath","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","4","Carex bigelowii","sheath","new above","Graminoids",0.359
2012-08-01,"MAT06","3","CT","5","Carex bigelowii","sheath","new above","Graminoids",0.226
2012-08-01,"MAT06","1","CT","1","Carex bigelowii","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","2","Carex bigelowii","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","3","Carex bigelowii","inflor/culm","new above","Graminoids",0.183
2012-08-01,"MAT06","1","CT","4","Carex bigelowii","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","5","Carex bigelowii","inflor/culm","new above","Graminoids",0.415
2012-08-01,"MAT06","2","CT","1","Carex bigelowii","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","2","Carex bigelowii","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","3","Carex bigelowii","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","4","Carex bigelowii","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","5","Carex bigelowii","inflor/culm","new above","Graminoids",0.051
2012-08-01,"MAT06","3","CT","1","Carex bigelowii","inflor/culm","new above","Graminoids",0.027
2012-08-01,"MAT06","3","CT","2","Carex bigelowii","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","3","Carex bigelowii","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","4","Carex bigelowii","inflor/culm","new above","Graminoids",0.11
2012-08-01,"MAT06","3","CT","5","Carex bigelowii","inflor/culm","new above","Graminoids",0.247
2012-08-01,"MAT06","1","CT","1","Carex bigelowii","rhizome","below","Graminoids",0
2012-08-01,"MAT06","1","CT","2","Carex bigelowii","rhizome","below","Graminoids",0.724
2012-08-01,"MAT06","1","CT","3","Carex bigelowii","rhizome","below","Graminoids",2.487
2012-08-01,"MAT06","1","CT","4","Carex bigelowii","rhizome","below","Graminoids",3.093
2012-08-01,"MAT06","1","CT","5","Carex bigelowii","rhizome","below","Graminoids",0.418
2012-08-01,"MAT06","2","CT","1","Carex bigelowii","rhizome","below","Graminoids",0
2012-08-01,"MAT06","2","CT","2","Carex bigelowii","rhizome","below","Graminoids",0
2012-08-01,"MAT06","2","CT","3","Carex bigelowii","rhizome","below","Graminoids",0
2012-08-01,"MAT06","2","CT","4","Carex bigelowii","rhizome","below","Graminoids",0
2012-08-01,"MAT06","2","CT","5","Carex bigelowii","rhizome","below","Graminoids",0.225
2012-08-01,"MAT06","3","CT","1","Carex bigelowii","rhizome","below","Graminoids",1.644
2012-08-01,"MAT06","3","CT","2","Carex bigelowii","rhizome","below","Graminoids",2.021
2012-08-01,"MAT06","3","CT","3","Carex bigelowii","rhizome","below","Graminoids",0
2012-08-01,"MAT06","3","CT","4","Carex bigelowii","rhizome","below","Graminoids",0.866
2012-08-01,"MAT06","3","CT","5","Carex bigelowii","rhizome","below","Graminoids",4.142
2012-08-01,"MAT06","1","CT","1","Carex bigelowii","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","1","CT","2","Carex bigelowii","standing dead","litter","Graminoids",0.677
2012-08-01,"MAT06","1","CT","3","Carex bigelowii","standing dead","litter","Graminoids",0.936
2012-08-01,"MAT06","1","CT","4","Carex bigelowii","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","1","CT","5","Carex bigelowii","standing dead","litter","Graminoids",0.681
2012-08-01,"MAT06","2","CT","1","Carex bigelowii","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","2","CT","2","Carex bigelowii","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","2","CT","3","Carex bigelowii","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","2","CT","4","Carex bigelowii","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","2","CT","5","Carex bigelowii","standing dead","litter","Graminoids",0.557
2012-08-01,"MAT06","3","CT","1","Carex bigelowii","standing dead","litter","Graminoids",2.458
2012-08-01,"MAT06","3","CT","2","Carex bigelowii","standing dead","litter","Graminoids",0.29
2012-08-01,"MAT06","3","CT","3","Carex bigelowii","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","3","CT","4","Carex bigelowii","standing dead","litter","Graminoids",3.184
2012-08-01,"MAT06","3","CT","5","Carex bigelowii","standing dead","litter","Graminoids",1.527
2012-08-01,"MAT06","1","CT","1","Calamagrostis lapponica","blade","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","2","Calamagrostis lapponica","blade","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","3","Calamagrostis lapponica","blade","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","4","Calamagrostis lapponica","blade","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","5","Calamagrostis lapponica","blade","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","1","Calamagrostis lapponica","blade","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","2","Calamagrostis lapponica","blade","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","3","Calamagrostis lapponica","blade","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","4","Calamagrostis lapponica","blade","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","5","Calamagrostis lapponica","blade","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","1","Calamagrostis lapponica","blade","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","2","Calamagrostis lapponica","blade","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","3","Calamagrostis lapponica","blade","new above","Graminoids",0.072
2012-08-01,"MAT06","3","CT","4","Calamagrostis lapponica","blade","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","5","Calamagrostis lapponica","blade","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","1","Calamagrostis lapponica","sheath","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","2","Calamagrostis lapponica","sheath","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","3","Calamagrostis lapponica","sheath","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","4","Calamagrostis lapponica","sheath","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","5","Calamagrostis lapponica","sheath","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","1","Calamagrostis lapponica","sheath","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","2","Calamagrostis lapponica","sheath","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","3","Calamagrostis lapponica","sheath","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","4","Calamagrostis lapponica","sheath","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","5","Calamagrostis lapponica","sheath","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","1","Calamagrostis lapponica","sheath","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","2","Calamagrostis lapponica","sheath","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","3","Calamagrostis lapponica","sheath","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","4","Calamagrostis lapponica","sheath","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","5","Calamagrostis lapponica","sheath","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","1","Calamagrostis lapponica","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","2","Calamagrostis lapponica","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","3","Calamagrostis lapponica","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","4","Calamagrostis lapponica","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","5","Calamagrostis lapponica","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","1","Calamagrostis lapponica","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","2","Calamagrostis lapponica","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","3","Calamagrostis lapponica","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","4","Calamagrostis lapponica","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","5","Calamagrostis lapponica","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","1","Calamagrostis lapponica","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","2","Calamagrostis lapponica","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","3","Calamagrostis lapponica","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","4","Calamagrostis lapponica","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","5","Calamagrostis lapponica","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","1","Calamagrostis lapponica","rhizome","below","Graminoids",0
2012-08-01,"MAT06","1","CT","2","Calamagrostis lapponica","rhizome","below","Graminoids",0
2012-08-01,"MAT06","1","CT","3","Calamagrostis lapponica","rhizome","below","Graminoids",0
2012-08-01,"MAT06","1","CT","4","Calamagrostis lapponica","rhizome","below","Graminoids",0
2012-08-01,"MAT06","1","CT","5","Calamagrostis lapponica","rhizome","below","Graminoids",0
2012-08-01,"MAT06","2","CT","1","Calamagrostis lapponica","rhizome","below","Graminoids",0
2012-08-01,"MAT06","2","CT","2","Calamagrostis lapponica","rhizome","below","Graminoids",0
2012-08-01,"MAT06","2","CT","3","Calamagrostis lapponica","rhizome","below","Graminoids",0
2012-08-01,"MAT06","2","CT","4","Calamagrostis lapponica","rhizome","below","Graminoids",0
2012-08-01,"MAT06","2","CT","5","Calamagrostis lapponica","rhizome","below","Graminoids",0
2012-08-01,"MAT06","3","CT","1","Calamagrostis lapponica","rhizome","below","Graminoids",0
2012-08-01,"MAT06","3","CT","2","Calamagrostis lapponica","rhizome","below","Graminoids",0
2012-08-01,"MAT06","3","CT","3","Calamagrostis lapponica","rhizome","below","Graminoids",0.648
2012-08-01,"MAT06","3","CT","4","Calamagrostis lapponica","rhizome","below","Graminoids",0
2012-08-01,"MAT06","3","CT","5","Calamagrostis lapponica","rhizome","below","Graminoids",0
2012-08-01,"MAT06","1","CT","1","Calamagrostis lapponica","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","1","CT","2","Calamagrostis lapponica","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","1","CT","3","Calamagrostis lapponica","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","1","CT","4","Calamagrostis lapponica","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","1","CT","5","Calamagrostis lapponica","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","2","CT","1","Calamagrostis lapponica","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","2","CT","2","Calamagrostis lapponica","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","2","CT","3","Calamagrostis lapponica","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","2","CT","4","Calamagrostis lapponica","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","2","CT","5","Calamagrostis lapponica","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","3","CT","1","Calamagrostis lapponica","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","3","CT","2","Calamagrostis lapponica","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","3","CT","3","Calamagrostis lapponica","standing dead","litter","Graminoids",0.367
2012-08-01,"MAT06","3","CT","4","Calamagrostis lapponica","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","3","CT","5","Calamagrostis lapponica","standing dead","litter","Graminoids",0
2012-08-01,"MAT06","1","CT","1","Luzula sp.","blade","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","2","Luzula sp.","blade","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","3","Luzula sp.","blade","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","4","Luzula sp.","blade","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","5","Luzula sp.","blade","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","1","Luzula sp.","blade","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","2","Luzula sp.","blade","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","3","Luzula sp.","blade","new above","Graminoids",0.016
2012-08-01,"MAT06","2","CT","4","Luzula sp.","blade","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","5","Luzula sp.","blade","new above","Graminoids",0.246
2012-08-01,"MAT06","3","CT","1","Luzula sp.","blade","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","2","Luzula sp.","blade","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","3","Luzula sp.","blade","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","4","Luzula sp.","blade","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","5","Luzula sp.","blade","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","1","Luzula sp.","sheath","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","2","Luzula sp.","sheath","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","3","Luzula sp.","sheath","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","4","Luzula sp.","sheath","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","5","Luzula sp.","sheath","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","1","Luzula sp.","sheath","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","2","Luzula sp.","sheath","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","3","Luzula sp.","sheath","new above","Graminoids",0.001
2012-08-01,"MAT06","2","CT","4","Luzula sp.","sheath","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","5","Luzula sp.","sheath","new above","Graminoids",0.024
2012-08-01,"MAT06","3","CT","1","Luzula sp.","sheath","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","2","Luzula sp.","sheath","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","3","Luzula sp.","sheath","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","4","Luzula sp.","sheath","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","5","Luzula sp.","sheath","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","1","Luzula sp.","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","2","Luzula sp.","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","3","Luzula sp.","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","4","Luzula sp.","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","5","Luzula sp.","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","1","Luzula sp.","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","2","Luzula sp.","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","3","Luzula sp.","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","4","Luzula sp.","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","5","Luzula sp.","inflor/culm","new above","Graminoids",0.129
2012-08-01,"MAT06","3","CT","1","Luzula sp.","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","2","Luzula sp.","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","3","Luzula sp.","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","4","Luzula sp.","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","5","Luzula sp.","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","1","Luzula sp.","rhizome","below","Graminoids",0
2012-08-01,"MAT06","1","CT","2","Luzula sp.","rhizome","below","Graminoids",0
2012-08-01,"MAT06","1","CT","3","Luzula sp.","rhizome","below","Graminoids",0
2012-08-01,"MAT06","1","CT","4","Luzula sp.","rhizome","below","Graminoids",0
2012-08-01,"MAT06","1","CT","5","Luzula sp.","rhizome","below","Graminoids",0
2012-08-01,"MAT06","2","CT","1","Luzula sp.","rhizome","below","Graminoids",0
2012-08-01,"MAT06","2","CT","2","Luzula sp.","rhizome","below","Graminoids",0
2012-08-01,"MAT06","2","CT","3","Luzula sp.","rhizome","below","Graminoids",0.052
2012-08-01,"MAT06","2","CT","4","Luzula sp.","rhizome","below","Graminoids",0
2012-08-01,"MAT06","2","CT","5","Luzula sp.","rhizome","below","Graminoids",0.479
2012-08-01,"MAT06","3","CT","1","Luzula sp.","rhizome","below","Graminoids",0
2012-08-01,"MAT06","3","CT","2","Luzula sp.","rhizome","below","Graminoids",0
2012-08-01,"MAT06","3","CT","3","Luzula sp.","rhizome","below","Graminoids",0
