"date_collected","site","block","treatment","quad","surface_area_cm2","species","tissue","growth_form","plot_tissue_id","mass_g","notes"
2024-07-24,"MAT06",1,"CT",1,400,"Ledum palustre","BelowStem","Evergreen","213",0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Vaccinium vitis-idaea","NewLeaves","Evergreen","277",0.143,NA
2024-07-24,"MAT06",1,"CT",1,400,"Vaccinium vitis-idaea","NewStems","Evergreen","278",0.051,NA
2024-07-24,"MAT06",1,"CT",1,400,"Vaccinium vitis-idaea","OldLeaves","Evergreen","222",0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Vaccinium vitis-idaea","OldStems","Evergreen","279",0.024,NA
2024-07-24,"MAT06",1,"CT",1,400,"Vaccinium vitis-idaea","Inflor","Evergreen","276",0.026,NA
2024-07-24,"MAT06",1,"CT",1,400,"Vaccinium vitis-idaea","BelowStem","Evergreen","280",0.067,NA
2024-07-24,"MAT06",1,"CT",1,400,"Cassiope tetragona","NewStems","Evergreen",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Cassiope tetragona","OldStems","Evergreen",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Cassiope tetragona","Inflor","Evergreen",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Cassiope tetragona","BelowStem","Evergreen",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Other Evergreen","NewLeaves","Evergreen","261",0.136,NA
2024-07-24,"MAT06",1,"CT",1,400,"Other Evergreen","NewStems","Evergreen","265",0.031,NA
2024-07-24,"MAT06",1,"CT",1,400,"Other Evergreen","OldLeaves","Evergreen","266",0.068,NA
2024-07-24,"MAT06",1,"CT",1,400,"Other Evergreen","OldStems","Evergreen","267",0.093,NA
2024-07-24,"MAT06",1,"CT",1,400,"Other Evergreen","Inflor","Evergreen","25",0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Other Evergreen","BelowStem","Evergreen","26",0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Rubus chamaemorus","LeavesStems","Forb","274",0.53,NA
2024-07-24,"MAT06",1,"CT",1,400,"Rubus chamaemorus","InflorStalks","Forb",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Rubus chamaemorus","BelowStem","Forb","275",0.772,NA
2024-07-24,"MAT06",1,"CT",1,400,"Petasites frigidus","LeavesStems","Forb",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Petasites frigidus","InflorStalks","Forb",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Petasites frigidus","BelowStem","Forb",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Other Forb","LeavesStems","Forb","229",0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Other Forb","InflorStalks","Forb",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Other Forb","BelowStem","Forb",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Sphagnum","Green","Moss","273",0.118,NA
2024-07-24,"MAT06",1,"CT",1,400,"Other Mosses","Green","Moss","269",43.277,NA
2024-07-24,"MAT06",1,"CT",1,400,"Mixed Lichen","Live","Lichen","270",0.077,NA
2024-07-24,"MAT06",1,"CT",1,400,"Litter","Wood","Litter","226",0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Litter","Litter","Litter","272",0.367,NA
2024-07-24,"MAT06",1,"CT",2,400,"Eriophorum vaginatum","BladeSheathInflCulm","Graminoid","264",0.593,NA
2024-07-24,"MAT06",1,"CT",2,400,"Eriophorum vaginatum","Rhizome","Graminoid","268",0.071,NA
2024-07-24,"MAT06",1,"CT",2,400,"Carex bigelowii","BladeSheathInflCulm","Graminoid","285",0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Carex bigelowii","Rhizome","Graminoid",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Other Graminoid","BladeSheathInflCulm","Graminoid",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Other Graminoid","Rhizome","Graminoid",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Betula nana","NewLeaves","Deciduous","17",0.532,NA
2024-07-24,"MAT06",1,"CT",2,400,"Betula nana","NewStems","Deciduous","18",0.028,NA
2024-07-24,"MAT06",1,"CT",2,400,"Betula nana","OldStems","Deciduous","19",0.737,NA
2024-07-24,"MAT06",1,"CT",2,400,"Betula nana","Inflor","Deciduous","20",0.053,NA
2024-07-24,"MAT06",1,"CT",2,400,"Betula nana","BelowStem","Deciduous","230",7.753,NA
2024-07-24,"MAT06",1,"CT",2,400,"Salix pulchra","NewLeaves","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Salix pulchra","NewStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Salix pulchra","OldStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Salix pulchra","Inflor","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Salix pulchra","BelowStem","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Vaccinium uliginosum","NewLeaves","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Vaccinium uliginosum","NewStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Vaccinium uliginosum","OldStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Vaccinium uliginosum","Inflor","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Vaccinium uliginosum","BelowStem","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Other Deciduous","NewLeaves","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Other Deciduous","NewStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Other Deciduous","OldStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Other Deciduous","Inflor","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Other Deciduous","BelowStem","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Ledum palustre","NewLeaves","Evergreen","281",0.613,NA
2024-07-24,"MAT06",1,"CT",2,400,"Ledum palustre","NewStems","Evergreen","282",0.126,NA
2024-07-24,"MAT06",1,"CT",2,400,"Ledum palustre","OldLeaves","Evergreen","283",0.595,NA
2024-07-24,"MAT06",1,"CT",2,400,"Ledum palustre","OldStems","Evergreen","284",1.025,NA
2024-07-24,"MAT06",1,"CT",2,400,"Ledum palustre","Inflor","Evergreen","212",0.036,NA
2024-07-24,"MAT06",1,"CT",2,400,"Ledum palustre","BelowStem","Evergreen","213",13.908,NA
2024-07-24,"MAT06",1,"CT",2,400,"Vaccinium vitis-idaea","NewLeaves","Evergreen","277",2.471,NA
2024-07-24,"MAT06",1,"CT",2,400,"Vaccinium vitis-idaea","NewStems","Evergreen","278",0.413,NA
2024-07-24,"MAT06",1,"CT",2,400,"Vaccinium vitis-idaea","OldLeaves","Evergreen","222",3.362,NA
2024-07-24,"MAT06",1,"CT",2,400,"Vaccinium vitis-idaea","OldStems","Evergreen","279",1.009,NA
2024-07-24,"MAT06",1,"CT",2,400,"Vaccinium vitis-idaea","Inflor","Evergreen","276",0.021,NA
2024-07-24,"MAT06",1,"CT",2,400,"Vaccinium vitis-idaea","BelowStem","Evergreen","280",4.461,NA
2024-07-24,"MAT06",1,"CT",2,400,"Cassiope tetragona","NewStems","Evergreen",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Cassiope tetragona","OldStems","Evergreen",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Cassiope tetragona","Inflor","Evergreen",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Cassiope tetragona","BelowStem","Evergreen",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Other Evergreen","NewLeaves","Evergreen","261",0.081,NA
2024-07-24,"MAT06",1,"CT",2,400,"Other Evergreen","NewStems","Evergreen","265",0.017,NA
2024-07-24,"MAT06",1,"CT",2,400,"Other Evergreen","OldLeaves","Evergreen","266",0.157,NA
2024-07-24,"MAT06",1,"CT",2,400,"Other Evergreen","OldStems","Evergreen","267",0.076,NA
2024-07-24,"MAT06",1,"CT",2,400,"Other Evergreen","Inflor","Evergreen","25",0.009,NA
2024-07-24,"MAT06",1,"CT",2,400,"Other Evergreen","BelowStem","Evergreen","26",0.371,NA
2024-07-24,"MAT06",1,"CT",2,400,"Rubus chamaemorus","LeavesStems","Forb","274",0.705,NA
2024-07-24,"MAT06",1,"CT",2,400,"Rubus chamaemorus","InflorStalks","Forb",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Rubus chamaemorus","BelowStem","Forb","275",2.969,NA
2024-07-24,"MAT06",1,"CT",2,400,"Petasites frigidus","LeavesStems","Forb",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Petasites frigidus","InflorStalks","Forb",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Petasites frigidus","BelowStem","Forb",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Other Forb","LeavesStems","Forb","229",0.032,NA
2024-07-24,"MAT06",1,"CT",2,400,"Other Forb","InflorStalks","Forb",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Other Forb","BelowStem","Forb",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,400,"Sphagnum","Green","Moss","273",0.867,NA
2024-07-24,"MAT06",1,"CT",2,400,"Other Mosses","Green","Moss","269",5.252,NA
2024-07-24,"MAT06",1,"CT",2,400,"Mixed Lichen","Live","Lichen","270",8.399,NA
2024-07-24,"MAT06",1,"CT",2,400,"Litter","Wood","Litter","226",0.385,NA
2024-07-24,"MAT06",1,"CT",2,400,"Litter","Litter","Litter","272",0.517,NA
2024-07-24,"MAT06",1,"CT",3,400,"Eriophorum vaginatum","BladeSheathInflCulm","Graminoid","264",0.848,NA
2024-07-24,"MAT06",1,"CT",3,400,"Eriophorum vaginatum","Rhizome","Graminoid","268",0.745,NA
2024-07-24,"MAT06",1,"CT",3,400,"Carex bigelowii","BladeSheathInflCulm","Graminoid","285",0.899,NA
2024-07-24,"MAT06",1,"CT",3,400,"Carex bigelowii","Rhizome","Graminoid",NA,4.619,NA
2024-07-24,"MAT06",1,"CT",3,400,"Other Graminoid","BladeSheathInflCulm","Graminoid",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Other Graminoid","Rhizome","Graminoid",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Betula nana","NewLeaves","Deciduous","17",0.604,NA
2024-07-24,"MAT06",1,"CT",3,400,"Betula nana","NewStems","Deciduous","18",1.185,NA
2024-07-24,"MAT06",1,"CT",3,400,"Betula nana","OldStems","Deciduous","19",0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Betula nana","Inflor","Deciduous","20",0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Betula nana","BelowStem","Deciduous","230",7.221,NA
2024-07-24,"MAT06",1,"CT",3,400,"Salix pulchra","NewLeaves","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Salix pulchra","NewStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Salix pulchra","OldStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Salix pulchra","Inflor","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Salix pulchra","BelowStem","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Vaccinium uliginosum","NewLeaves","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Vaccinium uliginosum","NewStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Vaccinium uliginosum","OldStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Vaccinium uliginosum","Inflor","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Vaccinium uliginosum","BelowStem","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Other Deciduous","NewLeaves","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Other Deciduous","NewStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Other Deciduous","OldStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Other Deciduous","Inflor","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Other Deciduous","BelowStem","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Ledum palustre","NewLeaves","Evergreen","281",0.643,NA
2024-07-24,"MAT06",1,"CT",3,400,"Ledum palustre","NewStems","Evergreen","282",0.201,NA
2024-07-24,"MAT06",1,"CT",3,400,"Ledum palustre","OldLeaves","Evergreen","283",0.575,NA
2024-07-24,"MAT06",1,"CT",3,400,"Ledum palustre","OldStems","Evergreen","284",1.559,NA
2024-07-24,"MAT06",1,"CT",3,400,"Ledum palustre","Inflor","Evergreen","212",0.016,NA
2024-07-24,"MAT06",1,"CT",3,400,"Ledum palustre","BelowStem","Evergreen","213",0.455,NA
2024-07-24,"MAT06",1,"CT",3,400,"Vaccinium vitis-idaea","NewLeaves","Evergreen","277",2.234,NA
2024-07-24,"MAT06",1,"CT",3,400,"Vaccinium vitis-idaea","NewStems","Evergreen","278",0.563,NA
2024-07-24,"MAT06",1,"CT",3,400,"Vaccinium vitis-idaea","OldLeaves","Evergreen","222",0.019,NA
2024-07-24,"MAT06",1,"CT",3,400,"Vaccinium vitis-idaea","OldStems","Evergreen","279",0.462,NA
2024-07-24,"MAT06",1,"CT",3,400,"Vaccinium vitis-idaea","Inflor","Evergreen","276",0.018,NA
2024-07-24,"MAT06",1,"CT",3,400,"Vaccinium vitis-idaea","BelowStem","Evergreen","280",0.74,NA
2024-07-24,"MAT06",1,"CT",3,400,"Cassiope tetragona","NewStems","Evergreen",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Cassiope tetragona","OldStems","Evergreen",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Cassiope tetragona","Inflor","Evergreen",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Cassiope tetragona","BelowStem","Evergreen",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Other Evergreen","NewLeaves","Evergreen","261",0.042,NA
2024-07-24,"MAT06",1,"CT",3,400,"Other Evergreen","NewStems","Evergreen","265",0.008,NA
2024-07-24,"MAT06",1,"CT",3,400,"Other Evergreen","OldLeaves","Evergreen","266",0.016,NA
2024-07-24,"MAT06",1,"CT",3,400,"Other Evergreen","OldStems","Evergreen","267",0.035,NA
2024-07-24,"MAT06",1,"CT",3,400,"Other Evergreen","Inflor","Evergreen","25",0.007,NA
2024-07-24,"MAT06",1,"CT",3,400,"Other Evergreen","BelowStem","Evergreen","26",0.138,NA
2024-07-24,"MAT06",1,"CT",3,400,"Rubus chamaemorus","LeavesStems","Forb","274",0.631,NA
2024-07-24,"MAT06",1,"CT",3,400,"Rubus chamaemorus","InflorStalks","Forb",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Rubus chamaemorus","BelowStem","Forb","275",1.775,NA
2024-07-24,"MAT06",1,"CT",3,400,"Petasites frigidus","LeavesStems","Forb",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Petasites frigidus","InflorStalks","Forb",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Petasites frigidus","BelowStem","Forb",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Other Forb","LeavesStems","Forb","229",0.468,NA
2024-07-24,"MAT06",1,"CT",3,400,"Other Forb","InflorStalks","Forb",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Other Forb","BelowStem","Forb",NA,1.534,NA
2024-07-24,"MAT06",1,"CT",3,400,"Sphagnum","Green","Moss","273",3.68,NA
2024-07-24,"MAT06",1,"CT",3,400,"Other Mosses","Green","Moss","269",10.655,NA
2024-07-24,"MAT06",1,"CT",3,400,"Mixed Lichen","Live","Lichen","270",0.228,NA
2024-07-24,"MAT06",1,"CT",3,400,"Litter","Wood","Litter","226",0,NA
2024-07-24,"MAT06",1,"CT",3,400,"Litter","Litter","Litter","272",7.844,NA
2024-07-24,"MAT06",1,"CT",4,400,"Eriophorum vaginatum","BladeSheathInflCulm","Graminoid","264",0.733,NA
2024-07-24,"MAT06",1,"CT",4,400,"Eriophorum vaginatum","Rhizome","Graminoid","268",0.855,NA
2024-07-24,"MAT06",1,"CT",4,400,"Carex bigelowii","BladeSheathInflCulm","Graminoid","285",0.181,NA
2024-07-24,"MAT06",1,"CT",4,400,"Carex bigelowii","Rhizome","Graminoid",NA,1.2,NA
2024-07-24,"MAT06",1,"CT",4,400,"Other Graminoid","BladeSheathInflCulm","Graminoid",NA,0.044,NA
2024-07-24,"MAT06",1,"CT",4,400,"Other Graminoid","Rhizome","Graminoid",NA,0.066,NA
2024-07-24,"MAT06",1,"CT",4,400,"Betula nana","NewLeaves","Deciduous","17",1.877,NA
2024-07-24,"MAT06",1,"CT",4,400,"Betula nana","NewStems","Deciduous","18",0.558,NA
2024-07-24,"MAT06",1,"CT",4,400,"Betula nana","OldStems","Deciduous","19",3.818,NA
2024-07-24,"MAT06",1,"CT",4,400,"Betula nana","Inflor","Deciduous","20",0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Betula nana","BelowStem","Deciduous","230",20.048,NA
2024-07-24,"MAT06",1,"CT",4,400,"Salix pulchra","NewLeaves","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Salix pulchra","NewStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Salix pulchra","OldStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Salix pulchra","Inflor","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Salix pulchra","BelowStem","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Vaccinium uliginosum","NewLeaves","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Vaccinium uliginosum","NewStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Vaccinium uliginosum","OldStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Vaccinium uliginosum","Inflor","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Vaccinium uliginosum","BelowStem","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Other Deciduous","NewLeaves","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Other Deciduous","NewStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Other Deciduous","OldStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Other Deciduous","Inflor","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Other Deciduous","BelowStem","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Ledum palustre","NewLeaves","Evergreen","281",1.192,NA
2024-07-24,"MAT06",1,"CT",4,400,"Ledum palustre","NewStems","Evergreen","282",0.293,NA
2024-07-24,"MAT06",1,"CT",4,400,"Ledum palustre","OldLeaves","Evergreen","283",1.016,NA
2024-07-24,"MAT06",1,"CT",4,400,"Ledum palustre","OldStems","Evergreen","284",4,NA
2024-07-24,"MAT06",1,"CT",4,400,"Ledum palustre","Inflor","Evergreen","212",0.142,NA
2024-07-24,"MAT06",1,"CT",4,400,"Ledum palustre","BelowStem","Evergreen","213",17.978,NA
2024-07-24,"MAT06",1,"CT",4,400,"Vaccinium vitis-idaea","NewLeaves","Evergreen","277",0.682,NA
2024-07-24,"MAT06",1,"CT",4,400,"Vaccinium vitis-idaea","NewStems","Evergreen","278",0.154,NA
2024-07-24,"MAT06",1,"CT",4,400,"Vaccinium vitis-idaea","OldLeaves","Evergreen","222",1.832,NA
2024-07-24,"MAT06",1,"CT",4,400,"Vaccinium vitis-idaea","OldStems","Evergreen","279",1.297,NA
2024-07-24,"MAT06",1,"CT",4,400,"Vaccinium vitis-idaea","Inflor","Evergreen","276",0.016,NA
2024-07-24,"MAT06",1,"CT",4,400,"Vaccinium vitis-idaea","BelowStem","Evergreen","280",2.557,NA
2024-07-24,"MAT06",1,"CT",4,400,"Cassiope tetragona","NewStems","Evergreen",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Cassiope tetragona","OldStems","Evergreen",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Cassiope tetragona","Inflor","Evergreen",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Cassiope tetragona","BelowStem","Evergreen",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Other Evergreen","NewLeaves","Evergreen","261",0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Other Evergreen","NewStems","Evergreen","265",0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Other Evergreen","OldLeaves","Evergreen","266",0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Other Evergreen","OldStems","Evergreen","267",0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Other Evergreen","Inflor","Evergreen","25",0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Other Evergreen","BelowStem","Evergreen","26",0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Rubus chamaemorus","LeavesStems","Forb","274",0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Rubus chamaemorus","InflorStalks","Forb",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Rubus chamaemorus","BelowStem","Forb","275",2.454,NA
2024-07-24,"MAT06",1,"CT",4,400,"Petasites frigidus","LeavesStems","Forb",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Petasites frigidus","InflorStalks","Forb",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Petasites frigidus","BelowStem","Forb",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Other Forb","LeavesStems","Forb","229",0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Other Forb","InflorStalks","Forb",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Other Forb","BelowStem","Forb",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Sphagnum","Green","Moss","273",0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Other Mosses","Green","Moss","269",8.483,NA
2024-07-24,"MAT06",1,"CT",4,400,"Mixed Lichen","Live","Lichen","270",3.722,NA
2024-07-24,"MAT06",1,"CT",4,400,"Litter","Wood","Litter","226",0,NA
2024-07-24,"MAT06",1,"CT",4,400,"Litter","Litter","Litter","272",0.886,NA
2024-07-25,"MAT06",1,"F0.5",1,400,"Eriophorum vaginatum","BladeSheathInflCulm","Graminoid","1648",0.558,NA
2024-07-25,"MAT06",1,"F0.5",1,400,"Eriophorum vaginatum","Rhizome","Graminoid","1649",0.075,NA
2024-07-25,"MAT06",1,"F0.5",1,400,"Carex bigelowii","BladeSheathInflCulm","Graminoid","1650",0.358,NA
2024-07-25,"MAT06",1,"F0.5",1,400,"Carex bigelowii","Rhizome","Graminoid","1669",3.718,NA
2024-07-25,"MAT06",1,"F0.5",1,400,"Other Graminoid","BladeSheathInflCulm","Graminoid",NA,0,NA
2024-07-25,"MAT06",1,"F0.5",1,400,"Other Graminoid","Rhizome","Graminoid",NA,0,NA
2024-07-25,"MAT06",1,"F0.5",1,400,"Betula nana","NewLeaves","Deciduous","1627",1.56,NA
2024-07-25,"MAT06",1,"F0.5",1,400,"Betula nana","NewStems","Deciduous","1628",0.269,NA
2024-07-25,"MAT06",1,"F0.5",1,400,"Betula nana","OldStems","Deciduous","1629",9.69,NA
2024-07-25,"MAT06",1,"F0.5",1,400,"Betula nana","Inflor","Deciduous",NA,0,NA
2024-07-25,"MAT06",1,"F0.5",1,400,"Betula nana","BelowStem","Deciduous","1630",8.358,NA
2024-07-25,"MAT06",1,"F0.5",1,400,"Salix pulchra","NewLeaves","Deciduous","1930",0,NA
2024-07-25,"MAT06",1,"F0.5",1,400,"Salix pulchra","NewStems","Deciduous","1931",0,NA
