"Block","Treatment","Date_collected","Horizon","Root_type","Plot_root_ID","Nitrogen_percent","Carbon_percent","Notes"
3,"F5",2024-07-26,"O","Fine","397",1.50906491279602,47.0109939575195,NA
3,"F5",2024-07-26,"O","Fine","397",1.57830858230591,48.4604454040527,NA
3,"F10",2024-07-26,"M","Fine","424",1.31452357769012,45.647388458252,NA
3,"F0.5",2024-07-26,"O","Coarse","332",0.470245957374573,53.3246765136719,NA
3,"F0.5",2024-07-26,"O","Erivag","327",1.14282786846161,44.8800849914551,NA
3,"F2",2024-07-26,"M","Fine","376",0.397684812545776,31.4308242797852,NA
3,"F10",2024-07-26,"O","Fine","421",1.77037334442139,50.2462692260742,NA
3,"F5",2024-07-26,"M","Fine","400",1.798344373703,44.0638847351074,NA
2,"F5",2024-07-25,"M","Fine","256",1.10652685165405,40.3947563171387,NA
3,"F10",2024-07-26,"O","Coarse","422",0.907632410526276,52.3305435180664,NA
2,"F0.5",2024-07-25,"M","Erivag","180",1.03088927268982,39.7331390380859,NA
2,"F0.5",2024-07-25,"M","Erivag","180",0.995671927928925,39.6616973876953,NA
1,"F5",2024-07-25,"O","Coarse","134",0.632718443870544,50.0462493896484,NA
3,"F5",2024-07-26,"O","Erivag","405",2.17233300209045,43.1104850769043,NA
3,"F2",2024-07-26,"O","Fine","373",1.33493852615356,46.9060592651367,NA
3,"F2",2024-07-26,"M","Erivag","378",0.845249712467194,41.540111541748,NA
3,"F2",2024-07-26,"M","Coarse","389",0.70855712890625,45.0304527282715,NA
3,"CT",2024-07-26,"O","Coarse","320",0.480611354112625,46.1857872009277,NA
3,"F5",2024-07-26,"M","Erivag","408",1.75467908382416,43.6043167114258,NA
3,"F0.5",2024-07-26,"M","Erivag","330",0.837088406085968,41.0685081481934,NA
