"Block","Treatment","Quad","Surface_area_cm2","Date_collected","Species","Tissue","Mass_g","Plot_tissue_ID","Growth_form","Notes"
1,"CT",1,400,2024-07-24,"Ledpal","NewStems",0.259,"282","Evergreen",NA
1,"CT",1,400,2024-07-24,"Ledpal","OldLeaves",0.058,"283","Evergreen",NA
1,"CT",1,400,2024-07-24,"Ledpal","OldStems",0.861,"284","Evergreen",NA
1,"CT",1,400,2024-07-24,"Ledpal","Inflor",0,"212","Evergreen",NA
1,"CT",1,400,2024-07-24,"Ledpal","BelowStem",0,"213","Evergreen",NA
1,"CT",1,400,2024-07-24,"Vacvit","NewLeaves",0.143,"277","Evergreen",NA
1,"CT",1,400,2024-07-24,"Vacvit","NewStems",0.051,"278","Evergreen",NA
1,"CT",1,400,2024-07-24,"Vacvit","OldLeaves",0,"222","Evergreen",NA
1,"CT",1,400,2024-07-24,"Vacvit","OldStems",0.024,"279","Evergreen",NA
1,"CT",1,400,2024-07-24,"Vacvit","Inflor",0.026,"276","Evergreen",NA
1,"CT",1,400,2024-07-24,"Vacvit","BelowStem",0.067,"280","Evergreen",NA
1,"CT",1,400,2024-07-24,"Castet","NewStems",0,NA,"Evergreen",NA
1,"CT",1,400,2024-07-24,"Castet","OldStems",0,NA,"Evergreen",NA
1,"CT",1,400,2024-07-24,"Castet","Inflor",0,NA,"Evergreen",NA
1,"CT",1,400,2024-07-24,"Castet","BelowStem",0,NA,"Evergreen",NA
1,"CT",1,400,2024-07-24,"OtherEvergreen","NewLeaves",0.136,"261","Evergreen",NA
1,"CT",1,400,2024-07-24,"OtherEvergreen","NewStems",0.031,"265","Evergreen",NA
1,"CT",1,400,2024-07-24,"OtherEvergreen","OldLeaves",0.068,"266","Evergreen",NA
1,"CT",1,400,2024-07-24,"OtherEvergreen","OldStems",0.093,"267","Evergreen",NA
1,"CT",1,400,2024-07-24,"OtherEvergreen","Inflor",0,"25","Evergreen",NA
1,"CT",1,400,2024-07-24,"OtherEvergreen","BelowStem",0,"26","Evergreen",NA
1,"CT",1,400,2024-07-24,"Rubcha","LeavesStems",0.53,"274","Forb",NA
1,"CT",1,400,2024-07-24,"Rubcha","InflorStalks",0,NA,"Forb",NA
1,"CT",1,400,2024-07-24,"Rubcha","BelowStem",0.772,"275","Forb",NA
1,"CT",1,400,2024-07-24,"Petfri","LeavesStems",0,NA,"Forb",NA
1,"CT",1,400,2024-07-24,"Petfri","InflorStalks",0,NA,"Forb",NA
1,"CT",1,400,2024-07-24,"Petfri","BelowStem",0,NA,"Forb",NA
1,"CT",1,400,2024-07-24,"OtherForb","LeavesStems",0,"229","Forb",NA
1,"CT",1,400,2024-07-24,"OtherForb","InflorStalks",0,NA,"Forb",NA
1,"CT",1,400,2024-07-24,"OtherForb","BelowStem",0,NA,"Forb",NA
1,"CT",1,400,2024-07-24,"Sphagnum","Green",0.118,"273","Moss",NA
1,"CT",1,400,2024-07-24,"OtherMoss","Green",43.277,"269","Moss",NA
1,"CT",1,400,2024-07-24,"Lichen","Live",0.077,"270","Lichen",NA
1,"CT",1,400,2024-07-24,"Attached","Wood",0,"226","Litter",NA
1,"CT",1,400,2024-07-24,"Attached","Litter",0.367,"272","Litter",NA
1,"CT",2,400,2024-07-24,"Erivag","BladeSheathInflCulm",0.593,"264","Graminoid",NA
1,"CT",2,400,2024-07-24,"Erivag","Rhizome",0.071,"268","Graminoid",NA
1,"CT",2,400,2024-07-24,"Carbig","BladeSheathInflCulm",0,"285","Graminoid",NA
1,"CT",2,400,2024-07-24,"Carbig","Rhizome",0,NA,"Graminoid",NA
1,"CT",2,400,2024-07-24,"OtherGraminoid","BladeSheathInflCulm",0,NA,"Graminoid",NA
1,"CT",2,400,2024-07-24,"OtherGraminoid","Rhizome",0,NA,"Graminoid",NA
1,"CT",2,400,2024-07-24,"Betnan","NewLeaves",0.532,"17","Deciduous",NA
1,"CT",2,400,2024-07-24,"Betnan","NewStems",0.028,"18","Deciduous",NA
1,"CT",2,400,2024-07-24,"Betnan","OldStems",0.737,"19","Deciduous",NA
1,"CT",2,400,2024-07-24,"Betnan","Inflor",0.053,"20","Deciduous",NA
1,"CT",2,400,2024-07-24,"Betnan","BelowStem",7.753,"230","Deciduous",NA
1,"CT",2,400,2024-07-24,"Salpul","NewLeaves",0,NA,"Deciduous",NA
1,"CT",2,400,2024-07-24,"Salpul","NewStems",0,NA,"Deciduous",NA
1,"CT",2,400,2024-07-24,"Salpul","OldStems",0,NA,"Deciduous",NA
1,"CT",2,400,2024-07-24,"Salpul","Inflor",0,NA,"Deciduous",NA
1,"CT",2,400,2024-07-24,"Salpul","BelowStem",0,NA,"Deciduous",NA
1,"CT",2,400,2024-07-24,"Vaculi","NewLeaves",0,NA,"Deciduous",NA
1,"CT",2,400,2024-07-24,"Vaculi","NewStems",0,NA,"Deciduous",NA
1,"CT",2,400,2024-07-24,"Vaculi","OldStems",0,NA,"Deciduous",NA
1,"CT",2,400,2024-07-24,"Vaculi","Inflor",0,NA,"Deciduous",NA
1,"CT",2,400,2024-07-24,"Vaculi","BelowStem",0,NA,"Deciduous",NA
1,"CT",2,400,2024-07-24,"OtherDeciduous","NewLeaves",0,NA,"Deciduous",NA
1,"CT",2,400,2024-07-24,"OtherDeciduous","NewStems",0,NA,"Deciduous",NA
1,"CT",2,400,2024-07-24,"OtherDeciduous","OldStems",0,NA,"Deciduous",NA
1,"CT",2,400,2024-07-24,"OtherDeciduous","Inflor",0,NA,"Deciduous",NA
1,"CT",2,400,2024-07-24,"OtherDeciduous","BelowStem",0,NA,"Deciduous",NA
1,"CT",2,400,2024-07-24,"Ledpal","NewLeaves",0.613,"281","Evergreen",NA
1,"CT",2,400,2024-07-24,"Ledpal","NewStems",0.126,"282","Evergreen",NA
1,"CT",2,400,2024-07-24,"Ledpal","OldLeaves",0.595,"283","Evergreen",NA
1,"CT",2,400,2024-07-24,"Ledpal","OldStems",1.025,"284","Evergreen",NA
1,"CT",2,400,2024-07-24,"Ledpal","Inflor",0.036,"212","Evergreen",NA
1,"CT",2,400,2024-07-24,"Ledpal","BelowStem",13.908,"213","Evergreen",NA
1,"CT",2,400,2024-07-24,"Vacvit","NewLeaves",2.471,"277","Evergreen",NA
1,"CT",2,400,2024-07-24,"Vacvit","NewStems",0.413,"278","Evergreen",NA
1,"CT",2,400,2024-07-24,"Vacvit","OldLeaves",3.362,"222","Evergreen",NA
1,"CT",2,400,2024-07-24,"Vacvit","OldStems",1.009,"279","Evergreen",NA
1,"CT",2,400,2024-07-24,"Vacvit","Inflor",0.021,"276","Evergreen",NA
1,"CT",2,400,2024-07-24,"Vacvit","BelowStem",4.461,"280","Evergreen",NA
1,"CT",2,400,2024-07-24,"Castet","NewStems",0,NA,"Evergreen",NA
1,"CT",2,400,2024-07-24,"Castet","OldStems",0,NA,"Evergreen",NA
1,"CT",2,400,2024-07-24,"Castet","Inflor",0,NA,"Evergreen",NA
1,"CT",2,400,2024-07-24,"Castet","BelowStem",0,NA,"Evergreen",NA
1,"CT",2,400,2024-07-24,"OtherEvergreen","NewLeaves",0.081,"261","Evergreen",NA
1,"CT",2,400,2024-07-24,"OtherEvergreen","NewStems",0.017,"265","Evergreen",NA
1,"CT",2,400,2024-07-24,"OtherEvergreen","OldLeaves",0.157,"266","Evergreen",NA
1,"CT",2,400,2024-07-24,"OtherEvergreen","OldStems",0.076,"267","Evergreen",NA
1,"CT",2,400,2024-07-24,"OtherEvergreen","Inflor",0.009,"25","Evergreen",NA
1,"CT",2,400,2024-07-24,"OtherEvergreen","BelowStem",0.371,"26","Evergreen",NA
1,"CT",2,400,2024-07-24,"Rubcha","LeavesStems",0.705,"274","Forb",NA
1,"CT",2,400,2024-07-24,"Rubcha","InflorStalks",0,NA,"Forb",NA
1,"CT",2,400,2024-07-24,"Rubcha","BelowStem",2.969,"275","Forb",NA
1,"CT",2,400,2024-07-24,"Petfri","LeavesStems",0,NA,"Forb",NA
1,"CT",2,400,2024-07-24,"Petfri","InflorStalks",0,NA,"Forb",NA
1,"CT",2,400,2024-07-24,"Petfri","BelowStem",0,NA,"Forb",NA
1,"CT",2,400,2024-07-24,"OtherForb","LeavesStems",0.032,"229","Forb",NA
1,"CT",2,400,2024-07-24,"OtherForb","InflorStalks",0,NA,"Forb",NA
1,"CT",2,400,2024-07-24,"OtherForb","BelowStem",0,NA,"Forb",NA
1,"CT",2,400,2024-07-24,"Sphagnum","Green",0.867,"273","Moss",NA
1,"CT",2,400,2024-07-24,"OtherMoss","Green",5.252,"269","Moss",NA
1,"CT",2,400,2024-07-24,"Lichen","Live",8.399,"270","Lichen",NA
1,"CT",2,400,2024-07-24,"Attached","Wood",0.385,"226","Litter",NA
1,"CT",2,400,2024-07-24,"Attached","Litter",0.517,"272","Litter",NA
1,"CT",3,400,2024-07-24,"Erivag","BladeSheathInflCulm",0.848,"264","Graminoid",NA
1,"CT",3,400,2024-07-24,"Erivag","Rhizome",0.745,"268","Graminoid",NA
1,"CT",3,400,2024-07-24,"Carbig","BladeSheathInflCulm",0.899,"285","Graminoid",NA
1,"CT",3,400,2024-07-24,"Carbig","Rhizome",4.619,NA,"Graminoid",NA
1,"CT",3,400,2024-07-24,"OtherGraminoid","BladeSheathInflCulm",0,NA,"Graminoid",NA
1,"CT",3,400,2024-07-24,"OtherGraminoid","Rhizome",0,NA,"Graminoid",NA
1,"CT",3,400,2024-07-24,"Betnan","NewLeaves",0.604,"17","Deciduous",NA
1,"CT",3,400,2024-07-24,"Betnan","NewStems",1.185,"18","Deciduous",NA
1,"CT",3,400,2024-07-24,"Betnan","OldStems",0,"19","Deciduous",NA
1,"CT",3,400,2024-07-24,"Betnan","Inflor",0,"20","Deciduous",NA
1,"CT",3,400,2024-07-24,"Betnan","BelowStem",7.221,"230","Deciduous",NA
1,"CT",3,400,2024-07-24,"Salpul","NewLeaves",0,NA,"Deciduous",NA
1,"CT",3,400,2024-07-24,"Salpul","NewStems",0,NA,"Deciduous",NA
1,"CT",3,400,2024-07-24,"Salpul","OldStems",0,NA,"Deciduous",NA
1,"CT",3,400,2024-07-24,"Salpul","Inflor",0,NA,"Deciduous",NA
1,"CT",3,400,2024-07-24,"Salpul","BelowStem",0,NA,"Deciduous",NA
1,"CT",3,400,2024-07-24,"Vaculi","NewLeaves",0,NA,"Deciduous",NA
1,"CT",3,400,2024-07-24,"Vaculi","NewStems",0,NA,"Deciduous",NA
1,"CT",3,400,2024-07-24,"Vaculi","OldStems",0,NA,"Deciduous",NA
1,"CT",3,400,2024-07-24,"Vaculi","Inflor",0,NA,"Deciduous",NA
1,"CT",3,400,2024-07-24,"Vaculi","BelowStem",0,NA,"Deciduous",NA
1,"CT",3,400,2024-07-24,"OtherDeciduous","NewLeaves",0,NA,"Deciduous",NA
1,"CT",3,400,2024-07-24,"OtherDeciduous","NewStems",0,NA,"Deciduous",NA
1,"CT",3,400,2024-07-24,"OtherDeciduous","OldStems",0,NA,"Deciduous",NA
1,"CT",3,400,2024-07-24,"OtherDeciduous","Inflor",0,NA,"Deciduous",NA
1,"CT",3,400,2024-07-24,"OtherDeciduous","BelowStem",0,NA,"Deciduous",NA
1,"CT",3,400,2024-07-24,"Ledpal","NewLeaves",0.643,"281","Evergreen",NA
1,"CT",3,400,2024-07-24,"Ledpal","NewStems",0.201,"282","Evergreen",NA
1,"CT",3,400,2024-07-24,"Ledpal","OldLeaves",0.575,"283","Evergreen",NA
1,"CT",3,400,2024-07-24,"Ledpal","OldStems",1.559,"284","Evergreen",NA
1,"CT",3,400,2024-07-24,"Ledpal","Inflor",0.016,"212","Evergreen",NA
1,"CT",3,400,2024-07-24,"Ledpal","BelowStem",0.455,"213","Evergreen",NA
1,"CT",3,400,2024-07-24,"Vacvit","NewLeaves",2.234,"277","Evergreen",NA
1,"CT",3,400,2024-07-24,"Vacvit","NewStems",0.563,"278","Evergreen",NA
1,"CT",3,400,2024-07-24,"Vacvit","OldLeaves",0.019,"222","Evergreen",NA
1,"CT",3,400,2024-07-24,"Vacvit","OldStems",0.462,"279","Evergreen",NA
1,"CT",3,400,2024-07-24,"Vacvit","Inflor",0.018,"276","Evergreen",NA
1,"CT",3,400,2024-07-24,"Vacvit","BelowStem",0.74,"280","Evergreen",NA
1,"CT",3,400,2024-07-24,"Castet","NewStems",0,NA,"Evergreen",NA
1,"CT",3,400,2024-07-24,"Castet","OldStems",0,NA,"Evergreen",NA
1,"CT",3,400,2024-07-24,"Castet","Inflor",0,NA,"Evergreen",NA
1,"CT",3,400,2024-07-24,"Castet","BelowStem",0,NA,"Evergreen",NA
1,"CT",3,400,2024-07-24,"OtherEvergreen","NewLeaves",0.042,"261","Evergreen",NA
1,"CT",3,400,2024-07-24,"OtherEvergreen","NewStems",0.008,"265","Evergreen",NA
1,"CT",3,400,2024-07-24,"OtherEvergreen","OldLeaves",0.016,"266","Evergreen",NA
1,"CT",3,400,2024-07-24,"OtherEvergreen","OldStems",0.035,"267","Evergreen",NA
1,"CT",3,400,2024-07-24,"OtherEvergreen","Inflor",0.007,"25","Evergreen",NA
1,"CT",3,400,2024-07-24,"OtherEvergreen","BelowStem",0.138,"26","Evergreen",NA
1,"CT",3,400,2024-07-24,"Rubcha","LeavesStems",0.631,"274","Forb",NA
1,"CT",3,400,2024-07-24,"Rubcha","InflorStalks",0,NA,"Forb",NA
1,"CT",3,400,2024-07-24,"Rubcha","BelowStem",1.775,"275","Forb",NA
1,"CT",3,400,2024-07-24,"Petfri","LeavesStems",0,NA,"Forb",NA
1,"CT",3,400,2024-07-24,"Petfri","InflorStalks",0,NA,"Forb",NA
1,"CT",3,400,2024-07-24,"Petfri","BelowStem",0,NA,"Forb",NA
1,"CT",3,400,2024-07-24,"OtherForb","LeavesStems",0.468,"229","Forb",NA
1,"CT",3,400,2024-07-24,"OtherForb","InflorStalks",0,NA,"Forb",NA
1,"CT",3,400,2024-07-24,"OtherForb","BelowStem",1.534,NA,"Forb",NA
1,"CT",3,400,2024-07-24,"Sphagnum","Green",3.68,"273","Moss",NA
1,"CT",3,400,2024-07-24,"OtherMoss","Green",10.655,"269","Moss",NA
1,"CT",3,400,2024-07-24,"Lichen","Live",0.228,"270","Lichen",NA
1,"CT",3,400,2024-07-24,"Attached","Wood",0,"226","Litter",NA
1,"CT",3,400,2024-07-24,"Attached","Litter",7.844,"272","Litter",NA
1,"CT",4,400,2024-07-24,"Erivag","BladeSheathInflCulm",0.733,"264","Graminoid",NA
1,"CT",4,400,2024-07-24,"Erivag","Rhizome",0.855,"268","Graminoid",NA
1,"CT",4,400,2024-07-24,"Carbig","BladeSheathInflCulm",0.181,"285","Graminoid",NA
1,"CT",4,400,2024-07-24,"Carbig","Rhizome",1.2,NA,"Graminoid",NA
1,"CT",4,400,2024-07-24,"OtherGraminoid","BladeSheathInflCulm",0.044,NA,"Graminoid",NA
1,"CT",4,400,2024-07-24,"OtherGraminoid","Rhizome",0.066,NA,"Graminoid",NA
1,"CT",4,400,2024-07-24,"Betnan","NewLeaves",1.877,"17","Deciduous",NA
1,"CT",4,400,2024-07-24,"Betnan","NewStems",0.558,"18","Deciduous",NA
1,"CT",4,400,2024-07-24,"Betnan","OldStems",3.818,"19","Deciduous",NA
1,"CT",4,400,2024-07-24,"Betnan","Inflor",0,"20","Deciduous",NA
1,"CT",4,400,2024-07-24,"Betnan","BelowStem",20.048,"230","Deciduous",NA
1,"CT",4,400,2024-07-24,"Salpul","NewLeaves",0,NA,"Deciduous",NA
1,"CT",4,400,2024-07-24,"Salpul","NewStems",0,NA,"Deciduous",NA
1,"CT",4,400,2024-07-24,"Salpul","OldStems",0,NA,"Deciduous",NA
1,"CT",4,400,2024-07-24,"Salpul","Inflor",0,NA,"Deciduous",NA
1,"CT",4,400,2024-07-24,"Salpul","BelowStem",0,NA,"Deciduous",NA
1,"CT",4,400,2024-07-24,"Vaculi","NewLeaves",0,NA,"Deciduous",NA
1,"CT",4,400,2024-07-24,"Vaculi","NewStems",0,NA,"Deciduous",NA
1,"CT",4,400,2024-07-24,"Vaculi","OldStems",0,NA,"Deciduous",NA
1,"CT",4,400,2024-07-24,"Vaculi","Inflor",0,NA,"Deciduous",NA
1,"CT",4,400,2024-07-24,"Vaculi","BelowStem",0,NA,"Deciduous",NA
1,"CT",4,400,2024-07-24,"OtherDeciduous","NewLeaves",0,NA,"Deciduous",NA
1,"CT",4,400,2024-07-24,"OtherDeciduous","NewStems",0,NA,"Deciduous",NA
1,"CT",4,400,2024-07-24,"OtherDeciduous","OldStems",0,NA,"Deciduous",NA
1,"CT",4,400,2024-07-24,"OtherDeciduous","Inflor",0,NA,"Deciduous",NA
1,"CT",4,400,2024-07-24,"OtherDeciduous","BelowStem",0,NA,"Deciduous",NA
1,"CT",4,400,2024-07-24,"Ledpal","NewLeaves",1.192,"281","Evergreen",NA
1,"CT",4,400,2024-07-24,"Ledpal","NewStems",0.293,"282","Evergreen",NA
1,"CT",4,400,2024-07-24,"Ledpal","OldLeaves",1.016,"283","Evergreen",NA
1,"CT",4,400,2024-07-24,"Ledpal","OldStems",4,"284","Evergreen",NA
1,"CT",4,400,2024-07-24,"Ledpal","Inflor",0.142,"212","Evergreen",NA
1,"CT",4,400,2024-07-24,"Ledpal","BelowStem",17.978,"213","Evergreen",NA
1,"CT",4,400,2024-07-24,"Vacvit","NewLeaves",0.682,"277","Evergreen",NA
1,"CT",4,400,2024-07-24,"Vacvit","NewStems",0.154,"278","Evergreen",NA
1,"CT",4,400,2024-07-24,"Vacvit","OldLeaves",1.832,"222","Evergreen",NA
1,"CT",4,400,2024-07-24,"Vacvit","OldStems",1.297,"279","Evergreen",NA
1,"CT",4,400,2024-07-24,"Vacvit","Inflor",0.016,"276","Evergreen",NA
1,"CT",4,400,2024-07-24,"Vacvit","BelowStem",2.557,"280","Evergreen",NA
1,"CT",4,400,2024-07-24,"Castet","NewStems",0,NA,"Evergreen",NA
1,"CT",4,400,2024-07-24,"Castet","OldStems",0,NA,"Evergreen",NA
1,"CT",4,400,2024-07-24,"Castet","Inflor",0,NA,"Evergreen",NA
1,"CT",4,400,2024-07-24,"Castet","BelowStem",0,NA,"Evergreen",NA
1,"CT",4,400,2024-07-24,"OtherEvergreen","NewLeaves",0,"261","Evergreen",NA
1,"CT",4,400,2024-07-24,"OtherEvergreen","NewStems",0,"265","Evergreen",NA
1,"CT",4,400,2024-07-24,"OtherEvergreen","OldLeaves",0,"266","Evergreen",NA
1,"CT",4,400,2024-07-24,"OtherEvergreen","OldStems",0,"267","Evergreen",NA
1,"CT",4,400,2024-07-24,"OtherEvergreen","Inflor",0,"25","Evergreen",NA
1,"CT",4,400,2024-07-24,"OtherEvergreen","BelowStem",0,"26","Evergreen",NA
1,"CT",4,400,2024-07-24,"Rubcha","LeavesStems",0,"274","Forb",NA
1,"CT",4,400,2024-07-24,"Rubcha","InflorStalks",0,NA,"Forb",NA
1,"CT",4,400,2024-07-24,"Rubcha","BelowStem",2.454,"275","Forb",NA
1,"CT",4,400,2024-07-24,"Petfri","LeavesStems",0,NA,"Forb",NA
1,"CT",4,400,2024-07-24,"Petfri","InflorStalks",0,NA,"Forb",NA
1,"CT",4,400,2024-07-24,"Petfri","BelowStem",0,NA,"Forb",NA
1,"CT",4,400,2024-07-24,"OtherForb","LeavesStems",0,"229","Forb",NA
1,"CT",4,400,2024-07-24,"OtherForb","InflorStalks",0,NA,"Forb",NA
1,"CT",4,400,2024-07-24,"OtherForb","BelowStem",0,NA,"Forb",NA
1,"CT",4,400,2024-07-24,"Sphagnum","Green",0,"273","Moss",NA
1,"CT",4,400,2024-07-24,"OtherMoss","Green",8.483,"269","Moss",NA
1,"CT",4,400,2024-07-24,"Lichen","Live",3.722,"270","Lichen",NA
1,"CT",4,400,2024-07-24,"Attached","Wood",0,"226","Litter",NA
1,"CT",4,400,2024-07-24,"Attached","Litter",0.886,"272","Litter",NA
1,"F0.5",1,400,2024-07-25,"Erivag","BladeSheathInflCulm",0.558,"1648","Graminoid",NA
1,"F0.5",1,400,2024-07-25,"Erivag","Rhizome",0.075,"1649","Graminoid",NA
1,"F0.5",1,400,2024-07-25,"Carbig","BladeSheathInflCulm",0.358,"1650","Graminoid",NA
1,"F0.5",1,400,2024-07-25,"Carbig","Rhizome",3.718,"1669","Graminoid",NA
1,"F0.5",1,400,2024-07-25,"OtherGraminoid","BladeSheathInflCulm",0,NA,"Graminoid",NA
1,"F0.5",1,400,2024-07-25,"OtherGraminoid","Rhizome",0,NA,"Graminoid",NA
1,"F0.5",1,400,2024-07-25,"Betnan","NewLeaves",1.56,"1627","Deciduous",NA
1,"F0.5",1,400,2024-07-25,"Betnan","NewStems",0.269,"1628","Deciduous",NA
1,"F0.5",1,400,2024-07-25,"Betnan","OldStems",9.69,"1629","Deciduous",NA
1,"F0.5",1,400,2024-07-25,"Betnan","Inflor",0,NA,"Deciduous",NA
1,"F0.5",1,400,2024-07-25,"Betnan","BelowStem",8.358,"1630","Deciduous",NA
1,"F0.5",1,400,2024-07-25,"Salpul","NewLeaves",0,"1930","Deciduous",NA
1,"F0.5",1,400,2024-07-25,"Salpul","NewStems",0,"1931","Deciduous",NA
1,"F0.5",1,400,2024-07-25,"Salpul","OldStems",0,"1932","Deciduous",NA
1,"F0.5",1,400,2024-07-25,"Salpul","Inflor",0,NA,"Deciduous",NA
1,"F0.5",1,400,2024-07-25,"Salpul","BelowStem",0,"1933","Deciduous",NA
1,"F0.5",1,400,2024-07-25,"Vaculi","NewLeaves",0.174,"1637","Deciduous",NA
1,"F0.5",1,400,2024-07-25,"Vaculi","NewStems",0.035,"1638","Deciduous",NA
1,"F0.5",1,400,2024-07-25,"Vaculi","OldStems",0.777,"1639","Deciduous",NA
1,"F0.5",1,400,2024-07-25,"Vaculi","Inflor",0,NA,"Deciduous",NA
1,"F0.5",1,400,2024-07-25,"Vaculi","BelowStem",0.287,"1640","Deciduous",NA
1,"F0.5",1,400,2024-07-25,"OtherDeciduous","NewLeaves",0,NA,"Deciduous",NA
1,"F0.5",1,400,2024-07-25,"OtherDeciduous","NewStems",0,NA,"Deciduous",NA
1,"F0.5",1,400,2024-07-25,"OtherDeciduous","OldStems",0,NA,"Deciduous",NA
1,"F0.5",1,400,2024-07-25,"OtherDeciduous","Inflor",0,NA,"Deciduous",NA
1,"F0.5",1,400,2024-07-25,"OtherDeciduous","BelowStem",0,NA,"Deciduous",NA
1,"F0.5",1,400,2024-07-25,"Ledpal","NewLeaves",1.282,"1631","Evergreen",NA
1,"F0.5",1,400,2024-07-25,"Ledpal","NewStems",0.212,"1632","Evergreen",NA
1,"F0.5",1,400,2024-07-25,"Ledpal","OldLeaves",0.925,"1633","Evergreen",NA
1,"F0.5",1,400,2024-07-25,"Ledpal","OldStems",8.153,"1634","Evergreen",NA
1,"F0.5",1,400,2024-07-25,"Ledpal","Inflor",0.081,"1635","Evergreen",NA
1,"F0.5",1,400,2024-07-25,"Ledpal","BelowStem",12.518,"1636","Evergreen",NA
1,"F0.5",1,400,2024-07-25,"Vacvit","NewLeaves",0.184,"1641","Evergreen",NA
1,"F0.5",1,400,2024-07-25,"Vacvit","NewStems",0.037,"1642","Evergreen",NA
1,"F0.5",1,400,2024-07-25,"Vacvit","OldLeaves",0.575,"1643","Evergreen",NA
1,"F0.5",1,400,2024-07-25,"Vacvit","OldStems",0.609,"1644","Evergreen",NA
1,"F0.5",1,400,2024-07-25,"Vacvit","Inflor",0.008,"1670","Evergreen",NA
1,"F0.5",1,400,2024-07-25,"Vacvit","BelowStem",0.525,"1645","Evergreen",NA
1,"F0.5",1,400,2024-07-25,"Castet","NewStems",0,NA,"Evergreen",NA
1,"F0.5",1,400,2024-07-25,"Castet","OldStems",0,NA,"Evergreen",NA
1,"F0.5",1,400,2024-07-25,"Castet","Inflor",0,NA,"Evergreen",NA
1,"F0.5",1,400,2024-07-25,"Castet","BelowStem",0,NA,"Evergreen",NA
1,"F0.5",1,400,2024-07-25,"OtherEvergreen","NewLeaves",0,"1652","Evergreen",NA
1,"F0.5",1,400,2024-07-25,"OtherEvergreen","NewStems",0,"1653","Evergreen",NA
1,"F0.5",1,400,2024-07-25,"OtherEvergreen","OldLeaves",0,"1654","Evergreen",NA
1,"F0.5",1,400,2024-07-25,"OtherEvergreen","OldStems",0,"1655","Evergreen",NA
1,"F0.5",1,400,2024-07-25,"OtherEvergreen","Inflor",0,NA,"Evergreen",NA
1,"F0.5",1,400,2024-07-25,"OtherEvergreen","BelowStem",0,"1656","Evergreen",NA
1,"F0.5",1,400,2024-07-25,"Rubcha","LeavesStems",0,"1699","Forb",NA
1,"F0.5",1,400,2024-07-25,"Rubcha","InflorStalks",0,NA,"Forb",NA
1,"F0.5",1,400,2024-07-25,"Rubcha","BelowStem",0,"1701","Forb",NA
1,"F0.5",1,400,2024-07-25,"Petfri","LeavesStems",0,NA,"Forb",NA
1,"F0.5",1,400,2024-07-25,"Petfri","InflorStalks",0,NA,"Forb",NA
1,"F0.5",1,400,2024-07-25,"Petfri","BelowStem",0,NA,"Forb",NA
1,"F0.5",1,400,2024-07-25,"OtherForb","LeavesStems",0,"1704","Forb",NA
1,"F0.5",1,400,2024-07-25,"OtherForb","InflorStalks",0,"1705","Forb",NA
